"standardTime","timezone","airportType","airportName","temperature","percentageOfClouds","windSpeed","windDirection","precipitations","snowMeasurement","description","delay"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","24"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","24"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","17"
"2025-05-11T09:40:00+00:00","Europe/Madrid","Departure","MAD","13.59000015258789","40","4.119999885559082","220.0","0.0","0.0","scattered clouds","13"
"2025-05-11T10:00:00+00:00","Europe/Madrid","Departure","MAD","13.59000015258789","40","4.119999885559082","220.0","0.0","0.0","scattered clouds","6"
"2025-05-11T11:05:00+00:00","Europe/Madrid","Departure","MAD","14.670000076293945","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","22"
"2025-05-11T10:25:00+00:00","Europe/Madrid","Departure","MAD","13.59000015258789","40","4.119999885559082","220.0","0.0","0.0","scattered clouds","9"
"2025-05-11T12:29:00+00:00","America/New_York","Arrival","JFK","18.389999389648438","20","0.0","0.0","0.0","0.0","few clouds","0"
"2025-05-11T10:35:00+00:00","Europe/Madrid","Departure","MAD","14.670000076293945","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","6"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","27"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","27"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","27"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","27"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","17"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","17"
"2025-05-11T12:45:00+00:00","Europe/Madrid","Departure","MAD","16.670000076293945","40","6.690000057220459","290.0","0.0","0.0","scattered clouds","23"
"2025-05-11T07:40:00+00:00","Europe/Madrid","Departure","MAD","11.25","20","2.569999933242798","220.0","0.0","0.0","few clouds","20"
"2025-05-11T07:40:00+00:00","Europe/Madrid","Departure","MAD","11.25","20","2.569999933242798","220.0","0.0","0.0","few clouds","20"
"2025-05-11T11:40:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","29"
"2025-05-11T11:40:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","29"
"2025-05-11T14:45:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","28"
"2025-05-11T14:55:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","40"
"2025-05-11T14:55:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","20"
"2025-05-11T14:55:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","42"
"2025-05-11T17:10:00+00:00","Europe/Zurich","Arrival","ZRH","21.81999969482422","0","4.119999885559082","40.0","0.0","0.0","clear sky","4"
"2025-05-11T14:55:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","43"
"2025-05-11T15:00:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","41"
"2025-05-11T15:00:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","41"
"2025-05-11T15:00:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","16"
"2025-05-11T08:45:00+00:00","Europe/Madrid","Departure","MAD","12.829999923706055","20","4.019999980926514","243.0","0.0","0.0","few clouds","21"
"2025-05-11T08:45:00+00:00","Europe/Madrid","Departure","MAD","12.829999923706055","20","4.019999980926514","243.0","0.0","0.0","few clouds","21"
"2025-05-11T08:45:00+00:00","Europe/Madrid","Departure","MAD","12.829999923706055","20","4.019999980926514","243.0","0.0","0.0","few clouds","21"
"2025-05-11T09:00:00+00:00","Europe/Madrid","Departure","MAD","12.829999923706055","20","4.019999980926514","243.0","0.0","0.0","few clouds","30"
"2025-05-11T09:40:00+00:00","Europe/Madrid","Departure","MAD","13.59000015258789","40","4.119999885559082","220.0","0.0","0.0","scattered clouds","13"
"2025-05-11T09:40:00+00:00","Europe/Madrid","Departure","MAD","13.59000015258789","40","4.119999885559082","220.0","0.0","0.0","scattered clouds","13"
"2025-05-11T15:10:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","36"
"2025-05-11T15:10:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","28"
"2025-05-11T15:25:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","28"
"2025-05-11T15:30:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","31"
"2025-05-11T15:35:00+00:00","Europe/Amsterdam","Departure","AMS","24.559999465942383","0","5.659999847412109","120.0","0.0","0.0","clear sky","21"
"2025-05-11T15:35:00+00:00","Europe/Amsterdam","Departure","AMS","24.559999465942383","0","5.659999847412109","120.0","0.0","0.0","clear sky","21"
"2025-05-11T15:35:00+00:00","Europe/Amsterdam","Departure","AMS","24.559999465942383","0","5.659999847412109","120.0","0.0","0.0","clear sky","21"
